Ano;Município;Ideb iniciais;Ideb finais
2007;ABAETETUBA;3,1;2,7
2007;ABEL FIGUEIREDO;3,4;3,2
2007;ACARA;2,6;3
2007;AFUA;2,9;3,1
2007;AGUA AZUL DO NORTE;3,2;2,9
2007;ALENQUER;2,8;3,3
2007;ALMEIRIM;2,7;3,6
2007;ALTAMIRA;4,3;4
2007;ANAJAS;1,9;3,6
2007;ANANINDEUA;3,1;3,2
2007;ANAPU;2,3;2,8
2007;AUGUSTO CORREA;2,6;2,9
2007;AURORA DO PARA;3,2;3,1
2007;AVEIRO;2,4;3
2007;BAGRE;2,1;2,5
2007;BAIAO;2,6;3,5
2007;BANNACH;3,5;3,4
2007;BARCARENA;3;3,1
2007;BELEM;3,2;3
2007;BELTERRA;2,8;3,2
2007;BENEVIDES;3;2,8
2007;BOM JESUS DO TOCANTINS;2,9;2,7
2007;BONITO;2,1;2,7
2007;BRAGANCA;3,1;3
2007;BRASIL NOVO;3,1;3,4
2007;BREJO GRANDE DO ARAGUAIA;2,2;3,2
2007;BREU BRANCO;2,6;3,2
2007;BREVES;2,5;3,6
2007;BUJARU;3;2,4
2007;CACHOEIRA DO ARARI;2,3;3
2007;CACHOEIRA DO PIRIA;1,8;2,5
2007;CAMETA;2,6;2,9
2007;CANAA DOS CARAJAS;3,3;3,8
2007;CAPANEMA;2,8;2,7
2007;CAPITAO POCO;2,1;2,8
2007;CASTANHAL;3,3;3,1
2007;CHAVES;2;3
2007;COLARES;2,8;2,7
2007;CONCEICAO DO ARAGUAIA;2,9;3,3
2007;CONCORDIA DO PARA;2,2;2,3
2007;CUMARU DO NORTE;2,5;2,7
2007;CURIONOPOLIS;3;3
2007;CURRALINHO;2,4;2,7
2007;CURUA;3,3;3,1
2007;CURUCA;2,9;2,7
2007;DOM ELISEU;3,3;3
2007;ELDORADO DOS CARAJAS;2,8;3,1
2007;FARO;2,5;3,1
2007;FLORESTA DO ARAGUAIA;3,1;3,1
2007;GARRAFAO DO NORTE;2,3;3,3
2007;GOIANESIA DO PARA;2,8;2,5
2007;GURUPA;2,1;3,1
2007;IGARAPE ACU;2,7;2,6
2007;IGARAPE MIRI;2,5;3,5
2007;INHANGAPI;2,5;3
2007;IPIXUNA DO PARA;2,6;2,9
2007;IRITUIA;3,1;2,8
2007;ITAITUBA;3,3;3,5
2007;ITUPIRANGA;3;2,9
2007;JACAREACANGA;2,7;3,5
2007;JACUNDA;2,8;2,8
2007;JURUTI;3,4;3,1
2007;LIMOEIRO DO AJURU;2,7;2,6
2007;MAE DO RIO;2,9;3,5
2007;MAGALHAES BARATA;3,2;2,7
2007;MARABA;3,3;3,4
2007;MARACANA;3,2;3,9
2007;MARAPANIM;2,7;3
2007;MARITUBA;3,3;3,5
2007;MEDICILANDIA;3,1;4
2007;MELGACO;2,2;3,4
2007;MOCAJUBA;2,7;2,9
2007;MOJU;2,6;3,3
2007;MONTE ALEGRE;3;3,7
2007;MUANA;2,8;3,4
2007;NOVA ESPERANCA DO PIRIA;2,1;2,8
2007;NOVA IPIXUNA;2,8;3,1
2007;NOVA TIMBOTEUA;3,2;3,9
2007;NOVO PROGRESSO;3,6;3,6
2007;NOVO REPARTIMENTO;2,9;3,1
2007;OBIDOS;3,2;3,5
2007;OEIRAS DO PARA;2,3;2,8
2007;ORIXIMINA;2,7;3,6
2007;OUREM;2,7;2,8
2007;OURILANDIA DO NORTE;3,4;3,1
2007;PACAJA;2,2;2,6
2007;PALESTINA DO PARA;2,5;3,1
2007;PARAGOMINAS;3,5;3,1
2007;PARAUAPEBAS;3,7;3,4
2007;PAU DARCO;3,1;3,2
2007;PEIXE BOI;3,3;3,7
2007;PICARRA;3,1;3
2007;PLACAS;3,1;4,1
2007;PONTA DE PEDRAS;2,4;2,9
2007;PORTEL;2;2,5
2007;PORTO DE MOZ;2,7;3,6
2007;PRAINHA;2,7;3,5
2007;PRIMAVERA;2,7;2,7
2007;QUATIPURU;2,5;2,5
2007;REDENCAO;3,3;3,2
2007;RIO MARIA;3,1;3,4
2007;RONDON DO PARA;3,5;3,2
2007;RUROPOLIS;3,2;3,5
2007;SALINOPOLIS;3,4;3,3
2007;SALVATERRA;2,9;3
2007;SANTA BARBARA DO PARA;2,9;2,5
2007;SANTA CRUZ DO ARARI;2,2;2,2
2007;SANTA ISABEL DO PARA;2,8;3,1
2007;SANTA LUZIA DO PARA;2,5;2,7
2007;SANTA MARIA DAS BARREIRAS;1,9;0
2007;SANTA MARIA DO PARA;2,8;2,6
2007;SANTANA DO ARAGUAIA;2,9;2,7
2007;SANTAREM;3,9;3,6
2007;SANTAREM NOVO;3,4;3,3
2007;SANTO ANTONIO DO TAUA;3,1;3,2
2007;SAO CAETANO DE ODIVELAS;2,9;3,2
2007;SAO DOMINGOS DO ARAGUAIA;2,2;2,5
2007;SAO DOMINGOS DO CAPIM;2,2;2,9
2007;SAO FELIX DO XINGU;2,7;3,3
2007;SAO FRANCISCO DO PARA;2,8;3,3
2007;SAO GERALDO DO ARAGUAIA;2,3;2,8
2007;SAO JOAO DA PONTA;2,7;2,9
2007;SAO JOAO DE PIRABAS;3;3,4
2007;SAO JOAO DO ARAGUAIA;2,7;2,9
2007;SAO MIGUEL DO GUAMA;3;3,4
2007;SAO SEBASTIAO DA BOA VISTA;2,4;3,3
2007;SAPUCAIA;3,4;2,1
2007;SENADOR JOSE PORFIRIO;2,7;3,2
2007;SOURE;2,6;2,9
2007;TAILANDIA;3;3,2
2007;TERRA ALTA;2,7;3,1
2007;TERRA SANTA;3,2;3,3
2007;TOME ACU;2,7;3,1
2007;TRACUATEUA;2,8;3
2007;TRAIRAO;3,2;3,3
2007;TUCUMA;3;3,2
2007;TUCURUI;3;3
2007;ULIANOPOLIS;3,7;2,9
2007;URUARA;2,7;2,7
2007;VIGIA;3,3;3
2007;VISEU;2,6;3,1
2007;VITORIA DO XINGU;4;3,5
2007;XINGUARA;2,4;3,1
